teixit,volta,tipus,context,p,surprisal_bits,context_seen,is_zero_prob_raw
CM_Gardenia,23,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,25,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,27,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,29,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,31,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,33,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,35,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,37,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,39,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,41,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,43,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,51,V0,V1,0.31155015,1.6825,1,0
CM_Gardenia,53,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,55,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,57,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,59,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,61,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,63,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,65,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,67,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,69,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,71,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,73,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,75,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,77,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,79,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,81,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,83,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,85,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,87,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,89,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,91,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,93,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,95,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,97,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,99,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,101,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,103,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,105,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,107,V2,V0,0.01151316,6.4406,1,0
CM_Gardenia,109,V0,V2,0.12068966,3.0506,1,0
CM_Gardenia,111,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,113,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,115,V1,V0,0.34046053,1.5544,1,0
CM_Gardenia,117,V0,V1,0.31155015,1.6825,1,0
CM_Gardenia,119,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,121,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,123,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,125,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,127,V1,V0,0.34046053,1.5544,1,0
CM_Gardenia,129,V0,V1,0.31155015,1.6825,1,0
CM_Gardenia,131,V1,V0,0.34046053,1.5544,1,0
CM_Gardenia,133,V0,V1,0.31155015,1.6825,1,0
CM_Gardenia,135,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,137,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,139,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,145,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,147,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,149,V1,V0,0.34046053,1.5544,1,0
CM_Gardenia,151,V0,V1,0.31155015,1.6825,1,0
CM_Gardenia,153,V1,V0,0.34046053,1.5544,1,0
CM_Gardenia,159,V0,V1,0.31155015,1.6825,1,0
CM_Gardenia,161,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,163,V1,V0,0.34046053,1.5544,1,0
CM_Gardenia,165,V0,V1,0.31155015,1.6825,1,0
CM_Gardenia,167,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,169,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,171,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,173,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,175,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,177,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,179,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,181,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,183,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,185,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,187,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,189,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,191,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,193,V2,V0,0.01151316,6.4406,1,0
CM_Gardenia,195,V0,V2,0.12068966,3.0506,1,0
